Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Alzheimer's,Donepezil,7.9,Very effective,"Nausea, insomnia, diarrhea",483
Anemia,Ferrous Sulfate,5.4,Somewhat helpful,"Constipation, nausea, black stools",319
Hypothyroidism,Levothyroxine,9.1,Caused side effects,"Weight loss, anxiety, nausea",428
Epilepsy,Carbamazepine,6.4,Not effective,"Dizziness, fatigue, liver problems",10
Diabetes,Metformin,4.1,Caused side effects,"Nausea, weight loss, dizziness",69
Hypertension,Lisinopril,9.6,Somewhat helpful,"Cough, dizziness, low blood pressure",310
Migraine,Sumatriptan,5.5,Somewhat helpful,"Nausea, dizziness, chest pain",197
Asthma,Albuterol,7.7,Somewhat helpful,"Tremors, nervousness, fast heartbeat",208
COVID-19,Remdesivir,7.7,Very effective,"Nausea, liver problems, rash",16
Flu,Tamiflu,5.2,Caused side effects,"Nausea, headache, dizziness",134
Depression,Sertraline,3.9,Very effective,"Drowsiness, weight gain, nausea",306
Arthritis,Ibuprofen,7.6,Highly recommended,"Stomach pain, nausea, ulcers",443
Pneumonia,Azithromycin,8.4,Caused side effects,"Diarrhea, stomach pain, nausea",254
Acid Reflux,Omeprazole,3.9,Highly recommended,"Stomach pain, bloating, dizziness",168
Tuberculosis,Rifampin,3.8,Somewhat helpful,"Liver damage, nausea, dizziness",290
Bronchitis,Dextromethorphan,4.3,Very effective,"Dizziness, dry mouth, fatigue",252
Liver Disease,Silymarin,1.2,Caused side effects,"Stomach pain, diarrhea, nausea",406
Kidney Stones,Tamsulosin,8.2,Not effective,"Dizziness, headache, nasal congestion",151
Stroke,Aspirin,2.3,Very effective,"Bleeding risk, stomach pain",154
Heart Disease,Atorvastatin,2.9,Somewhat helpful,"Muscle pain, liver issues, nausea",375
Alzheimer's,Donepezil,9.1,Highly recommended,"Nausea, insomnia, diarrhea",329
Anemia,Ferrous Sulfate,6.6,Very effective,"Constipation, nausea, black stools",335
Hypothyroidism,Levothyroxine,4.4,Somewhat helpful,"Weight loss, anxiety, nausea",169
Epilepsy,Carbamazepine,6.9,Highly recommended,"Dizziness, fatigue, liver problems",175
Diabetes,Metformin,9.6,Not effective,"Nausea, weight loss, dizziness",379
Hypertension,Lisinopril,9.1,Somewhat helpful,"Cough, dizziness, low blood pressure",412
Migraine,Sumatriptan,3.5,Highly recommended,"Nausea, dizziness, chest pain",321
Asthma,Albuterol,1.5,Caused side effects,"Tremors, nervousness, fast heartbeat",334
COVID-19,Remdesivir,2.6,Very effective,"Nausea, liver problems, rash",127
Flu,Tamiflu,6.1,Caused side effects,"Nausea, headache, dizziness",227
Depression,Sertraline,3.3,Highly recommended,"Drowsiness, weight gain, nausea",346
Arthritis,Ibuprofen,4.3,Somewhat helpful,"Stomach pain, nausea, ulcers",458
Pneumonia,Azithromycin,7.7,Very effective,"Diarrhea, stomach pain, nausea",478
Acid Reflux,Omeprazole,1.4,Somewhat helpful,"Stomach pain, bloating, dizziness",55
Tuberculosis,Rifampin,4.1,Very effective,"Liver damage, nausea, dizziness",365
Bronchitis,Dextromethorphan,3.9,Caused side effects,"Dizziness, dry mouth, fatigue",53
Liver Disease,Silymarin,3,Highly recommended,"Stomach pain, diarrhea, nausea",173
Kidney Stones,Tamsulosin,4.7,Very effective,"Dizziness, headache, nasal congestion",450
Stroke,Aspirin,1.2,Caused side effects,"Bleeding risk, stomach pain",108
Heart Disease,Atorvastatin,5,Somewhat helpful,"Muscle pain, liver issues, nausea",312
Alzheimer's,Donepezil,4.1,Very effective,"Nausea, insomnia, diarrhea",287
Anemia,Ferrous Sulfate,7.2,Highly recommended,"Constipation, nausea, black stools",203
Hypothyroidism,Levothyroxine,9.7,Very effective,"Weight loss, anxiety, nausea",449
Epilepsy,Carbamazepine,7.1,Not effective,"Dizziness, fatigue, liver problems",115
Diabetes,Metformin,7.5,Highly recommended,"Nausea, weight loss, dizziness",98
Hypertension,Lisinopril,2.1,Not effective,"Cough, dizziness, low blood pressure",16
Migraine,Sumatriptan,6.2,Not effective,"Nausea, dizziness, chest pain",424
Asthma,Albuterol,7.3,Highly recommended,"Tremors, nervousness, fast heartbeat",311
COVID-19,Remdesivir,8.3,Not effective,"Nausea, liver problems, rash",199
Flu,Tamiflu,1.3,Highly recommended,"Nausea, headache, dizziness",166
Depression,Sertraline,7.1,Not effective,"Drowsiness, weight gain, nausea",261
Arthritis,Ibuprofen,5.4,Not effective,"Stomach pain, nausea, ulcers",402
Pneumonia,Azithromycin,6.4,Caused side effects,"Diarrhea, stomach pain, nausea",289
Acid Reflux,Omeprazole,5.6,Not effective,"Stomach pain, bloating, dizziness",280
Tuberculosis,Rifampin,8.2,Highly recommended,"Liver damage, nausea, dizziness",80
Bronchitis,Dextromethorphan,1.5,Highly recommended,"Dizziness, dry mouth, fatigue",96
Liver Disease,Silymarin,7.7,Caused side effects,"Stomach pain, diarrhea, nausea",115
Kidney Stones,Tamsulosin,3,Somewhat helpful,"Dizziness, headache, nasal congestion",191
Stroke,Aspirin,8,Very effective,"Bleeding risk, stomach pain",98
Heart Disease,Atorvastatin,7.5,Highly recommended,"Muscle pain, liver issues, nausea",410
Alzheimer's,Donepezil,9.5,Not effective,"Nausea, insomnia, diarrhea",44
Anemia,Ferrous Sulfate,1.1,Highly recommended,"Constipation, nausea, black stools",462
Hypothyroidism,Levothyroxine,7.3,Caused side effects,"Weight loss, anxiety, nausea",113
Epilepsy,Carbamazepine,4.8,Not effective,"Dizziness, fatigue, liver problems",346
Diabetes,Metformin,9.5,Very effective,"Nausea, weight loss, dizziness",378
Hypertension,Lisinopril,7.5,Highly recommended,"Cough, dizziness, low blood pressure",447
Migraine,Sumatriptan,1.2,Not effective,"Nausea, dizziness, chest pain",100
Asthma,Albuterol,4.6,Not effective,"Tremors, nervousness, fast heartbeat",253
COVID-19,Remdesivir,3.6,Caused side effects,"Nausea, liver problems, rash",262
Flu,Tamiflu,8.7,Not effective,"Nausea, headache, dizziness",170
Depression,Sertraline,1.8,Caused side effects,"Drowsiness, weight gain, nausea",403
Arthritis,Ibuprofen,6.2,Not effective,"Stomach pain, nausea, ulcers",429
Pneumonia,Azithromycin,5.7,Not effective,"Diarrhea, stomach pain, nausea",138
Acid Reflux,Omeprazole,2.2,Not effective,"Stomach pain, bloating, dizziness",420
Tuberculosis,Rifampin,1.3,Somewhat helpful,"Liver damage, nausea, dizziness",199
Bronchitis,Dextromethorphan,1.5,Caused side effects,"Dizziness, dry mouth, fatigue",439
Liver Disease,Silymarin,8.9,Somewhat helpful,"Stomach pain, diarrhea, nausea",26
Kidney Stones,Tamsulosin,8.1,Caused side effects,"Dizziness, headache, nasal congestion",371
Stroke,Aspirin,8.9,Somewhat helpful,"Bleeding risk, stomach pain",197
Heart Disease,Atorvastatin,4,Very effective,"Muscle pain, liver issues, nausea",430
Alzheimer's,Donepezil,7.7,Highly recommended,"Nausea, insomnia, diarrhea",243
Anemia,Ferrous Sulfate,4.8,Highly recommended,"Constipation, nausea, black stools",15
Hypothyroidism,Levothyroxine,2,Very effective,"Weight loss, anxiety, nausea",316
Epilepsy,Carbamazepine,7.8,Very effective,"Dizziness, fatigue, liver problems",349
Diabetes,Metformin,1.2,Very effective,"Nausea, weight loss, dizziness",428
Hypertension,Lisinopril,3.3,Very effective,"Cough, dizziness, low blood pressure",305
Migraine,Sumatriptan,1.3,Caused side effects,"Nausea, dizziness, chest pain",325
Asthma,Albuterol,4.9,Very effective,"Tremors, nervousness, fast heartbeat",134
COVID-19,Remdesivir,8.3,Caused side effects,"Nausea, liver problems, rash",159
Flu,Tamiflu,7.1,Not effective,"Nausea, headache, dizziness",267
Depression,Sertraline,2.3,Caused side effects,"Drowsiness, weight gain, nausea",206
Arthritis,Ibuprofen,1.1,Somewhat helpful,"Stomach pain, nausea, ulcers",320
Pneumonia,Azithromycin,8.8,Highly recommended,"Diarrhea, stomach pain, nausea",302
Acid Reflux,Omeprazole,1.5,Not effective,"Stomach pain, bloating, dizziness",491
Tuberculosis,Rifampin,7.3,Somewhat helpful,"Liver damage, nausea, dizziness",336
Bronchitis,Dextromethorphan,3.2,Somewhat helpful,"Dizziness, dry mouth, fatigue",451
Liver Disease,Silymarin,1.6,Somewhat helpful,"Stomach pain, diarrhea, nausea",427
Kidney Stones,Tamsulosin,3.5,Caused side effects,"Dizziness, headache, nasal congestion",138
Stroke,Aspirin,3.8,Highly recommended,"Bleeding risk, stomach pain",451
Heart Disease,Atorvastatin,2.3,Highly recommended,"Muscle pain, liver issues, nausea",423
Alzheimer's,Donepezil,3.4,Somewhat helpful,"Nausea, insomnia, diarrhea",366
Anemia,Ferrous Sulfate,4.8,Caused side effects,"Constipation, nausea, black stools",375
Hypothyroidism,Levothyroxine,4,Caused side effects,"Weight loss, anxiety, nausea",51
Epilepsy,Carbamazepine,7.6,Highly recommended,"Dizziness, fatigue, liver problems",389
Diabetes,Metformin,5,Very effective,"Nausea, weight loss, dizziness",358
Hypertension,Lisinopril,2.7,Highly recommended,"Cough, dizziness, low blood pressure",209
Migraine,Sumatriptan,8.7,Highly recommended,"Nausea, dizziness, chest pain",57
Asthma,Albuterol,4.7,Caused side effects,"Tremors, nervousness, fast heartbeat",116
COVID-19,Remdesivir,5.4,Caused side effects,"Nausea, liver problems, rash",285
Flu,Tamiflu,7.2,Highly recommended,"Nausea, headache, dizziness",149
Depression,Sertraline,8.3,Very effective,"Drowsiness, weight gain, nausea",247
Arthritis,Ibuprofen,5.3,Caused side effects,"Stomach pain, nausea, ulcers",127
Pneumonia,Azithromycin,9.7,Somewhat helpful,"Diarrhea, stomach pain, nausea",363
Acid Reflux,Omeprazole,3.9,Not effective,"Stomach pain, bloating, dizziness",32
Tuberculosis,Rifampin,7.9,Caused side effects,"Liver damage, nausea, dizziness",322
Bronchitis,Dextromethorphan,8.6,Very effective,"Dizziness, dry mouth, fatigue",321
Liver Disease,Silymarin,9.1,Highly recommended,"Stomach pain, diarrhea, nausea",323
Kidney Stones,Tamsulosin,3.1,Not effective,"Dizziness, headache, nasal congestion",251
Stroke,Aspirin,3.5,Not effective,"Bleeding risk, stomach pain",175
Heart Disease,Atorvastatin,3,Somewhat helpful,"Muscle pain, liver issues, nausea",96
Alzheimer's,Donepezil,4.4,Not effective,"Nausea, insomnia, diarrhea",207
Anemia,Ferrous Sulfate,5.3,Somewhat helpful,"Constipation, nausea, black stools",399
Hypothyroidism,Levothyroxine,3.7,Very effective,"Weight loss, anxiety, nausea",159
Epilepsy,Carbamazepine,5.7,Somewhat helpful,"Dizziness, fatigue, liver problems",14
Diabetes,Metformin,6,Highly recommended,"Nausea, weight loss, dizziness",441
Hypertension,Lisinopril,7.2,Not effective,"Cough, dizziness, low blood pressure",295
Migraine,Sumatriptan,1.9,Caused side effects,"Nausea, dizziness, chest pain",174
Asthma,Albuterol,1.6,Not effective,"Tremors, nervousness, fast heartbeat",148
COVID-19,Remdesivir,7.2,Caused side effects,"Nausea, liver problems, rash",243
Flu,Tamiflu,9.7,Highly recommended,"Nausea, headache, dizziness",69
Depression,Sertraline,7.2,Somewhat helpful,"Drowsiness, weight gain, nausea",483
Arthritis,Ibuprofen,7.1,Somewhat helpful,"Stomach pain, nausea, ulcers",210
Pneumonia,Azithromycin,9.4,Highly recommended,"Diarrhea, stomach pain, nausea",45
Acid Reflux,Omeprazole,2.9,Very effective,"Stomach pain, bloating, dizziness",140
Tuberculosis,Rifampin,9.9,Very effective,"Liver damage, nausea, dizziness",216
Bronchitis,Dextromethorphan,5.9,Somewhat helpful,"Dizziness, dry mouth, fatigue",478
Liver Disease,Silymarin,8.4,Caused side effects,"Stomach pain, diarrhea, nausea",497
Kidney Stones,Tamsulosin,2.2,Not effective,"Dizziness, headache, nasal congestion",130
Stroke,Aspirin,6.5,Caused side effects,"Bleeding risk, stomach pain",132
Heart Disease,Atorvastatin,3.3,Caused side effects,"Muscle pain, liver issues, nausea",420
Alzheimer's,Donepezil,1.4,Somewhat helpful,"Nausea, insomnia, diarrhea",248
Anemia,Ferrous Sulfate,4.1,Not effective,"Constipation, nausea, black stools",123
Hypothyroidism,Levothyroxine,5.4,Somewhat helpful,"Weight loss, anxiety, nausea",386
Epilepsy,Carbamazepine,5.4,Caused side effects,"Dizziness, fatigue, liver problems",381
Diabetes,Metformin,8.7,Very effective,"Nausea, weight loss, dizziness",14
Hypertension,Lisinopril,7.7,Not effective,"Cough, dizziness, low blood pressure",204
Migraine,Sumatriptan,1.9,Caused side effects,"Nausea, dizziness, chest pain",476
Asthma,Albuterol,9.8,Somewhat helpful,"Tremors, nervousness, fast heartbeat",250
COVID-19,Remdesivir,3.9,Not effective,"Nausea, liver problems, rash",487
Flu,Tamiflu,5.7,Very effective,"Nausea, headache, dizziness",383
Depression,Sertraline,5.6,Highly recommended,"Drowsiness, weight gain, nausea",275
Arthritis,Ibuprofen,8.2,Caused side effects,"Stomach pain, nausea, ulcers",234
Pneumonia,Azithromycin,1.4,Highly recommended,"Diarrhea, stomach pain, nausea",292
Acid Reflux,Omeprazole,6.7,Not effective,"Stomach pain, bloating, dizziness",446
Tuberculosis,Rifampin,9.5,Caused side effects,"Liver damage, nausea, dizziness",120
Bronchitis,Dextromethorphan,2.5,Very effective,"Dizziness, dry mouth, fatigue",218
Liver Disease,Silymarin,1.9,Highly recommended,"Stomach pain, diarrhea, nausea",334
Kidney Stones,Tamsulosin,7.4,Very effective,"Dizziness, headache, nasal congestion",475
Stroke,Aspirin,9.4,Very effective,"Bleeding risk, stomach pain",347
Heart Disease,Atorvastatin,6.3,Not effective,"Muscle pain, liver issues, nausea",469
Alzheimer's,Donepezil,9.4,Very effective,"Nausea, insomnia, diarrhea",500
Anemia,Ferrous Sulfate,2.3,Highly recommended,"Constipation, nausea, black stools",158
Hypothyroidism,Levothyroxine,7.7,Highly recommended,"Weight loss, anxiety, nausea",19
Epilepsy,Carbamazepine,9,Not effective,"Dizziness, fatigue, liver problems",413
Diabetes,Metformin,9.1,Highly recommended,"Nausea, weight loss, dizziness",110
Hypertension,Lisinopril,8.9,Highly recommended,"Cough, dizziness, low blood pressure",184
Migraine,Sumatriptan,9.1,Highly recommended,"Nausea, dizziness, chest pain",92
Asthma,Albuterol,1.4,Not effective,"Tremors, nervousness, fast heartbeat",296
COVID-19,Remdesivir,8.3,Highly recommended,"Nausea, liver problems, rash",72
Flu,Tamiflu,5,Highly recommended,"Nausea, headache, dizziness",295
Depression,Sertraline,2.4,Highly recommended,"Drowsiness, weight gain, nausea",495
Arthritis,Ibuprofen,5.4,Highly recommended,"Stomach pain, nausea, ulcers",45
Pneumonia,Azithromycin,2.3,Highly recommended,"Diarrhea, stomach pain, nausea",13
Acid Reflux,Omeprazole,1.9,Highly recommended,"Stomach pain, bloating, dizziness",381
Tuberculosis,Rifampin,3.3,Caused side effects,"Liver damage, nausea, dizziness",332
Bronchitis,Dextromethorphan,1.9,Highly recommended,"Dizziness, dry mouth, fatigue",489
Liver Disease,Silymarin,2.1,Somewhat helpful,"Stomach pain, diarrhea, nausea",125
Kidney Stones,Tamsulosin,3.4,Highly recommended,"Dizziness, headache, nasal congestion",190
Stroke,Aspirin,4.2,Somewhat helpful,"Bleeding risk, stomach pain",361
Heart Disease,Atorvastatin,2.6,Highly recommended,"Muscle pain, liver issues, nausea",322
Alzheimer's,Donepezil,7.3,Caused side effects,"Nausea, insomnia, diarrhea",403
Anemia,Ferrous Sulfate,5.5,Very effective,"Constipation, nausea, black stools",302
Hypothyroidism,Levothyroxine,8.5,Somewhat helpful,"Weight loss, anxiety, nausea",446
Epilepsy,Carbamazepine,9.6,Caused side effects,"Dizziness, fatigue, liver problems",354
Diabetes,Metformin,4.7,Caused side effects,"Nausea, weight loss, dizziness",436
Hypertension,Lisinopril,8.4,Not effective,"Cough, dizziness, low blood pressure",461
Migraine,Sumatriptan,1.1,Somewhat helpful,"Nausea, dizziness, chest pain",87
Asthma,Albuterol,3.4,Not effective,"Tremors, nervousness, fast heartbeat",87
COVID-19,Remdesivir,8.7,Very effective,"Nausea, liver problems, rash",155
Flu,Tamiflu,5.7,Not effective,"Nausea, headache, dizziness",334
Depression,Sertraline,2.9,Caused side effects,"Drowsiness, weight gain, nausea",309
Arthritis,Ibuprofen,8.9,Not effective,"Stomach pain, nausea, ulcers",490
Pneumonia,Azithromycin,5.2,Somewhat helpful,"Diarrhea, stomach pain, nausea",479
Acid Reflux,Omeprazole,8.7,Caused side effects,"Stomach pain, bloating, dizziness",486
Tuberculosis,Rifampin,4.7,Very effective,"Liver damage, nausea, dizziness",45
Bronchitis,Dextromethorphan,4.3,Not effective,"Dizziness, dry mouth, fatigue",58
Liver Disease,Silymarin,5.6,Not effective,"Stomach pain, diarrhea, nausea",140
Kidney Stones,Tamsulosin,4.2,Not effective,"Dizziness, headache, nasal congestion",470
Stroke,Aspirin,9.2,Somewhat helpful,"Bleeding risk, stomach pain",155
Heart Disease,Atorvastatin,9.1,Highly recommended,"Muscle pain, liver issues, nausea",108
Alzheimer's,Donepezil,6.4,Highly recommended,"Nausea, insomnia, diarrhea",24
Anemia,Ferrous Sulfate,4.2,Very effective,"Constipation, nausea, black stools",106
Hypothyroidism,Levothyroxine,5.2,Very effective,"Weight loss, anxiety, nausea",341
Epilepsy,Carbamazepine,9,Not effective,"Dizziness, fatigue, liver problems",289
Diabetes,Metformin,7.5,Highly recommended,"Nausea, weight loss, dizziness",170
Hypertension,Lisinopril,1.7,Somewhat helpful,"Cough, dizziness, low blood pressure",38
Migraine,Sumatriptan,3.9,Very effective,"Nausea, dizziness, chest pain",128
Asthma,Albuterol,9.3,Highly recommended,"Tremors, nervousness, fast heartbeat",24
COVID-19,Remdesivir,6.6,Very effective,"Nausea, liver problems, rash",447
Flu,Tamiflu,7.7,Somewhat helpful,"Nausea, headache, dizziness",186
Depression,Sertraline,6.6,Very effective,"Drowsiness, weight gain, nausea",213
Arthritis,Ibuprofen,9.9,Caused side effects,"Stomach pain, nausea, ulcers",138
Pneumonia,Azithromycin,9.2,Very effective,"Diarrhea, stomach pain, nausea",208
Acid Reflux,Omeprazole,1.6,Highly recommended,"Stomach pain, bloating, dizziness",71
Tuberculosis,Rifampin,8.7,Not effective,"Liver damage, nausea, dizziness",378
Bronchitis,Dextromethorphan,2,Highly recommended,"Dizziness, dry mouth, fatigue",184
Liver Disease,Silymarin,5.5,Highly recommended,"Stomach pain, diarrhea, nausea",198
Kidney Stones,Tamsulosin,1.6,Caused side effects,"Dizziness, headache, nasal congestion",247
Stroke,Aspirin,4,Somewhat helpful,"Bleeding risk, stomach pain",304
Heart Disease,Atorvastatin,1,Highly recommended,"Muscle pain, liver issues, nausea",107
Alzheimer's,Donepezil,5.3,Somewhat helpful,"Nausea, insomnia, diarrhea",409
Anemia,Ferrous Sulfate,2.4,Very effective,"Constipation, nausea, black stools",223
Hypothyroidism,Levothyroxine,4.7,Caused side effects,"Weight loss, anxiety, nausea",324
Epilepsy,Carbamazepine,6.1,Not effective,"Dizziness, fatigue, liver problems",210
Diabetes,Metformin,4.6,Not effective,"Nausea, weight loss, dizziness",184
Hypertension,Lisinopril,7.1,Somewhat helpful,"Cough, dizziness, low blood pressure",287
Migraine,Sumatriptan,2.9,Very effective,"Nausea, dizziness, chest pain",88
Asthma,Albuterol,5.1,Not effective,"Tremors, nervousness, fast heartbeat",402
COVID-19,Remdesivir,1.7,Very effective,"Nausea, liver problems, rash",154
Flu,Tamiflu,3.7,Highly recommended,"Nausea, headache, dizziness",403
Depression,Sertraline,2.4,Highly recommended,"Drowsiness, weight gain, nausea",135
Arthritis,Ibuprofen,2.6,Very effective,"Stomach pain, nausea, ulcers",112
